site,date,flue,is_flue_drought,cluster,NR_B1,NR_B2,NR_B3,NR_B4,NR_B5,NR_B6,NR_B7,LST,t2m_era5,ssrd_era5,pcwd_era5,vegtype
CZ-wet,2007-09-08,1.007194036399887,FALSE,cLS,NA,NA,0.023755555555555554,0.0595,0.3375413793103449,NA,0.0856793103448276,284.7859924366667,285.720520019531,4064430,0,WET
CZ-wet,2007-09-09,0.99343939200303355,FALSE,cLS,0.03612,0.3825,0.02092,0.0585,0.3300266666666667,0.2053,0.07146666666666666,288.12732951000004,285.079895019531,10523826,0,WET
CZ-wet,2007-09-10,0.996228185646882,FALSE,cLS,NA,0.3797,NA,0.0575,0.3397,0.2059,NA,NA,284.612762451172,6409524,0,WET
CZ-wet,2007-09-12,0.994739101682844,FALSE,cLS,0.0399,NA,0.0208,0.0598,0.3419,0.2085,0.0792,287.3866597466667,284.923797607422,10746570,0,WET
CZ-wet,2007-09-13,0.9919078928494708,FALSE,cLS,0.0399,0.3714,0.0208,0.0617,0.332,0.2088,0.08,NA,285.152526855469,8391030,1.4162103396883,WET
CZ-wet,2007-09-14,1.001959173153633,FALSE,cLS,0.0401,0.3677,0.0212,0.0604,0.3358,0.2059,NA,NA,287.029602050781,17120752,2.86502153105882,WET
CZ-wet,2007-09-15,1.0064284505838472,FALSE,cLS,0.0407,0.3642,NA,0.06,0.335,0.2103,NA,NA,286.524871826172,12442182,3.76008420707117,WET
CZ-wet,2007-09-16,1.0369807832948728,FALSE,cLS,0.0406,NA,0.0241,0.0593,NA,0.2053,0.0782,294.17999269999996,286.778747558594,17829400,5.21099409577849,WET
CZ-wet,2007-09-17,1.0059154259783756,FALSE,cLS,NA,0.3597,NA,NA,NA,0.2042,0.0783,293.97999575,289.996978759766,15671116,6.66146887051075,WET
CZ-wet,2007-09-18,1.002573037653401,FALSE,cLS,NA,NA,0.0243,0.0594,NA,0.2035,NA,290.13666278999995,285.387481689453,5820530,1.44327894400549,WET
CZ-wet,2007-09-19,1.0197925881023078,FALSE,cLS,0.0409,0.3571,0.0244,0.0594,0.3297,NA,0.0781,288.1653269466667,281.919128417969,10142158,2.64962417070109,WET
CZ-wet,2007-09-20,1.0754445845946816,FALSE,cLS,NA,NA,0.0244,NA,NA,NA,0.078,289.16999814999997,283.168182373047,9668162,4.09003303847028,WET
CZ-wet,2007-09-23,1.0413461037697134,FALSE,cLS,NA,0.3544,0.0249,0.0606,0.3324,NA,0.0827,292.34999085,286.803344726562,15942646,8.44447931831631,WET
CZ-wet,2007-09-24,1.029283132827412,FALSE,cLS,0.0416,NA,NA,0.0594,0.3321,0.2023,0.0821,294.41998290000004,287.088653564453,15986796,9.89410942963024,WET
CZ-wet,2007-09-25,0.995165201772454,FALSE,cLS,0.0425,0.3506,0.0256,0.0602,NA,0.2046,0.0828,NA,284.650482177734,8087860,2.83396647885684,WET
CZ-wet,2007-09-26,0.9980135174908552,FALSE,cLS,0.0419,0.3503,0.0255,NA,0.3297,0.2029,0.082,285.7299947133333,283.796234130859,3946423.5,3.33699630945774,WET
CZ-wet,2007-09-27,1.003321481778712,FALSE,cLS,NA,0.3496,0.0255,0.06,0.3293,0.2026,0.0819,286.14466043999994,284.537689208984,3285239.75,0,WET
CZ-wet,2007-09-28,0.9910240797270864,FALSE,cLS,0.041,0.3447,0.0233,NA,0.3262,0.1986,0.082,286.00132751666666,283.556579589844,7678610.5,0,WET
CZ-wet,2007-09-29,0.9882022129168664,FALSE,cLS,NA,0.3479,NA,0.0583,0.3336,0.1998,0.0822,286.33999635,285.385833740234,11746656,1.37182823879255,WET
CZ-wet,2007-09-30,0.996036408814693,FALSE,cLS,0.0401,NA,0.023,NA,NA,0.2096,0.0837,293.10998535,285.787689208984,12692028,2.73326525323479,WET
CZ-wet,2007-10-01,0.982575334808278,FALSE,cLS,0.0415,0.3484,NA,0.0585,NA,0.2078,0.0835,288.92999265000003,286.409210205078,13810610,3.47025961691409,WET
CZ-wet,2007-10-02,0.9918660712072324,FALSE,cLS,NA,0.3529,0.0241,NA,NA,0.2144,0.087,288.59732970666664,287.661071777344,11634909,0.266137498483022,WET
CZ-wet,2007-10-03,1.0134373036440418,FALSE,cLS,NA,0.3463,0.0244,0.0588,0.3304,NA,NA,286.60466105,287.268463134766,3647977,0.563691141123914,WET
CZ-wet,2007-10-04,1.0121383554497232,FALSE,cLS,NA,0.3386,NA,0.0582,NA,0.2079,NA,287.74132792333336,287.575469970703,6995050,0,WET
CZ-wet,2007-10-05,0.9905491325340428,FALSE,cLS,NA,0.3372,0.0244,0.0582,NA,0.2072,0.0858,291.98999025,285.483001708984,7152862,0,WET
CZ-wet,2007-10-06,0.9976850312588814,FALSE,cLS,0.0427,0.3358,0.0244,0.0582,0.3233,NA,0.0855,284.8133270333334,282.805450439453,5542079,0.624412512452878,WET
CZ-wet,2007-10-10,0.9911207135044128,FALSE,cLS,NA,0.3116,NA,0.0592,0.3264,0.218,0.0929,288.6699829,282.901947021484,8096396,3.34273303438188,WET
CZ-wet,2007-10-12,1.0071351882747837,FALSE,cLS,0.0455,NA,0.0262,0.0593,0.3256,0.2173,0.0927,282.83665976000003,282.234588623047,7748018,3.98629485418529,WET
CZ-wet,2007-10-13,0.9983397646162576,FALSE,cLS,NA,0.3094,0.0262,0.0593,NA,0.2169,0.0927,284.9533274333334,280.165557861328,5076638,4.28692075537685,WET
CZ-wet,2007-10-15,0.9046808256975,FALSE,cLS,0.0459,0.3079,0.0263,NA,0.3248,0.2158,NA,288.08999635,280.410705566406,12172970,5.76006821383558,WET
CZ-wet,2007-10-16,1.0787361328050509,FALSE,cLS,0.0471,0.3009,0.0263,NA,NA,0.2162,0.0938,291.1499939,282.401519775391,11676700,6.49621618992198,WET
CZ-wet,2007-10-17,1.0078572488408524,FALSE,cLS,0.048,0.3005,0.0268,NA,0.325,0.2149,NA,289.09999085000004,283.563262939453,11288236,7.18958511364389,WET
CZ-wet,2007-10-18,0.9971406929827142,FALSE,cLS,0.048,0.2998,NA,0.06,0.3242,0.2142,0.0936,285.0339935333334,280.994110107422,6506684,2.60964390445902,WET
CZ-wet,2007-10-25,1.0099945149620089,FALSE,cLS,0.059820000000000005,0.3061,0.030559999999999997,0.0688,0.30772,NA,0.09970666666666665,281.45799560333336,279.086761474609,1541448,0.434237143000729,WET
CZ-wet,2007-10-26,1.0076162529418051,FALSE,cLS,0.6416333333333333,32767,0.5824666666666666,32767,0.18389655172413796,32767,0.03489655172413793,277.65999551,279.193756103516,3852974,1.03605567520599,WET
CZ-wet,2007-10-27,1.0082115100621554,FALSE,cLS,NA,32767,NA,32767,0.18389655172413796,32767,0.03489655172413793,276.63132831333337,279.555969238281,2916808,0.353976742083489,WET
CZ-wet,2007-10-28,1.0022654251331016,FALSE,cLS,NA,32767,0.5824666666666666,32767,0.18389655172413796,32767,NA,278.0539957566667,280.176361083984,5022056,0,WET
CZ-wet,2007-10-29,0.9882135870985252,FALSE,cLS,NA,32767,0.5824666666666666,NA,0.18389655172413796,32767,NA,280.9639953533333,280.492218017578,7925504,0.737773969094192,WET
CZ-wet,2007-10-30,0.9937481614140566,FALSE,cLS,0.6416333333333333,32767,NA,NA,0.18389655172413796,32767,NA,281.14266255666666,280.778839111328,4977760,1.09807628510705,WET
CZ-wet,2007-10-31,0.999589922186471,FALSE,cLS,0.6416333333333333,NA,0.5824666666666666,32767,0.18389655172413796,32767,0.03489655172413793,278.4166605633334,278.954681396484,4842460,1.68090320005926,WET
CZ-wet,2007-11-03,1.004610333851973,FALSE,cLS,0.6416333333333333,NA,0.5824666666666666,NA,0.18389655172413796,32767,0.03489655172413793,NA,281.844940185547,1559174,0,WET
CZ-wet,2007-11-04,0.9977408762664848,FALSE,cLS,0.6416333333333333,32767,NA,32767,NA,NA,0.03489655172413793,279.8713277166667,279.814819335938,4604748,0,WET
CZ-wet,2007-11-08,0.9893832925762976,FALSE,cLS,0.6416333333333333,NA,0.5824666666666666,NA,0.18389655172413796,32767,0.03489655172413793,NA,278.930084228516,3758062,0,WET
CZ-wet,2007-12-02,0.98559815200255,FALSE,cLS,0.056519999999999994,0.2379,0.027000000000000003,0.0552,0.24656666666666668,0.2225,0.09272666666666667,278.22998044999997,278.755798339844,4610412,0,WET
CZ-wet,2007-12-03,0.9860466727439468,FALSE,cLS,0.05724,0.238,0.028700000000000003,0.0557,NA,0.2224,0.09588666666666666,280.78932902,277.712982177734,3838276,0,WET
CZ-wet,2007-12-07,1.0023179055471103,FALSE,cLS,NA,0.2376,0.029320000000000002,NA,0.2508200000000001,0.2216,0.08970000000000002,281.2639933233333,280.502716064453,1222396,0,WET
CZ-wet,2008-01-19,0.9965211360478292,FALSE,cLS,0.07394,0.197,0.03442,0.0679,0.25834666666666667,0.2016,0.15146,279.31932474000007,280.693511962891,1228472,0,WET
CZ-wet,2008-01-20,0.9793526225302364,FALSE,cLS,0.08292000000000001,0.197,0.038239999999999996,0.0677,0.264,0.2022,0.15755333333333332,282.47066041000005,280.760833740234,2877416,0,WET
CZ-wet,2008-01-21,0.9489874955146596,FALSE,cLS,0.07692,0.197,0.035820000000000005,NA,NA,0.2027,0.14896,NA,279.225677490234,4029736,0,WET
CZ-wet,2008-02-06,0.9694337639079242,FALSE,cLS,0.0939,NA,NA,0.0735,NA,0.2033,0.1181,279.39999385,279.121795654297,5331362,0,WET
CZ-wet,2008-02-21,0.9440862479755148,FALSE,cLS,0.10124,NA,0.0541,0.0865,0.287,0.2341,0.1452,282.37266234333333,277.569732666016,5162020,0,WET
CZ-wet,2008-02-22,0.937203300470652,FALSE,cLS,NA,0.226,0.0532,0.079,NA,NA,NA,289.1893279966667,280.333038330078,6597820,0,WET
CZ-wet,2008-02-23,0.9414917565925748,FALSE,cLS,0.092,0.226,0.0532,NA,0.301,NA,0.1523,284.8406605966667,279.676300048828,6134344,0,WET
CZ-wet,2008-02-27,0.9119016852024034,FALSE,cLS,0.11377999999999999,0.2247,0.052860000000000004,0.0837,NA,0.1923,0.1477,286.60132751666663,279.722717285156,7515230,0,WET
CZ-wet,2008-02-29,0.9776778660796004,FALSE,cLS,0.1021,NA,0.0499,0.0808,0.2562733333333333,0.2483,0.1671,NA,278.169860839844,2100424,0,WET
CZ-wet,2008-03-02,0.9903284127089672,FALSE,cLS,0.1035,0.2186,NA,0.0798,NA,NA,0.1655,281.52799580666664,279.284393310547,3726544,0,WET
CZ-wet,2008-03-11,0.9287960723764354,FALSE,cLS,NA,NA,0.0453,0.0743,0.2712,0.2342,0.1361,282.33332926,278.842651367188,6766125,7.19732728965542,WET
CZ-wet,2008-03-14,0.6848338997375012,TRUE,cLS,0.0934,0.2133,0.0455,NA,0.2742,NA,0.137,279.90466206,277.554748535156,3055899,0,WET
CZ-wet,2008-03-27,0.9218439192022084,TRUE,cLS,NA,0.2367,NA,0.0829,0.2930933333333334,0.2588,0.15447333333333332,285.4206614166667,277.226959228516,12844498,0,WET
CZ-wet,2008-03-28,0.8744873821812817,TRUE,cLS,0.09158000000000001,0.2369,0.04614,0.0829,0.2784333333333333,NA,NA,NA,278.235015869141,10607928,0,WET
CZ-wet,2008-03-29,0.7224412730921582,TRUE,cLS,0.0972,0.237,NA,NA,0.27423333333333333,0.2615,0.15983333333333333,NA,279.509582519531,17063732,0,WET
CZ-wet,2008-03-30,0.8790974551071818,TRUE,cLS,0.0988,0.2372,0.04924,0.083,0.28978666666666675,0.2628,0.17076000000000002,288.1299896,280.943817138672,19368676,1.04201989079066,WET
CZ-wet,2008-03-31,0.9310794890765683,FALSE,cLS,0.09888,0.2375,0.04716,0.0829,0.29933999999999994,NA,0.17193333333333335,292.5800018,283.105346679688,18269654,2.08360168747633,WET
CZ-wet,2008-04-01,0.93793465087968,FALSE,cLS,0.09526000000000001,0.2392,0.04718,0.0827,0.2905,NA,NA,288.71799418000006,281.915496826172,13633250,2.3474619755149,WET
CZ-wet,2008-04-08,0.9124778142100208,FALSE,cLS,0.0908,0.2558,0.04586,NA,NA,0.2542,0.1442,282.16000365,277.456268310547,20381054,2.07724270608809,WET
CZ-wet,2008-04-09,0.9399653525412264,FALSE,cLS,0.0883,0.2628,NA,0.0816,0.3171,0.2516,0.1397,NA,281.988983154297,19812524,4.1564894598773,WET
CZ-wet,2008-04-10,0.9482970017132718,FALSE,cLS,NA,0.2637,0.04232,0.0816,0.3188,0.253,0.1405,NA,284.659576416016,16266090,5.95778694939347,WET
CZ-wet,2008-04-11,0.959760562297434,FALSE,cLS,0.0864,0.2674,NA,0.0808,NA,NA,0.1392,293.76266173666664,286.239837646484,19297662,4.72488089278792,WET
CZ-wet,2008-04-12,0.8933878464065899,FALSE,cLS,0.0863,0.2679,0.04404,0.0807,NA,NA,0.1397,285.3953287733333,280.685272216797,12921974,3.65698284466244,WET
CZ-wet,2008-04-13,0.7433331806304022,FALSE,cLS,0.0852,0.2633,0.04451999999999999,0.0786,0.3185,0.2528,0.1381,288.30799458999996,281.582244873047,19475280,5.36425616072888,WET
CZ-wet,2008-04-14,1.0092639946124833,FALSE,cLS,0.0852,0.2638,0.04462000000000001,0.0785,0.3195,NA,0.1386,NA,282.394622802734,21664274,6.44855901727823,WET
CZ-wet,2008-04-17,0.9598257469165832,FALSE,cLS,NA,0.2714,0.04376,0.0783,0.3243,NA,NA,284.5886617,278.671264648438,18262272,4.82051854698276,WET
CZ-wet,2008-04-18,0.989596678533884,FALSE,cLS,0.07346,0.2668,0.03852,NA,0.2938933333333333,0.253,0.13162666666666667,292.6899872,280.630737304688,11919832,5.64854506330826,WET
CZ-wet,2008-04-19,0.9689391264342114,FALSE,cLS,0.08148,NA,0.0415,NA,NA,0.2533,0.12749999999999997,285.3986653633334,282.240264892578,11501200,0,WET
CZ-wet,2008-04-20,0.9741992984482044,FALSE,cLS,0.06638,0.2606,0.0348,0.0719,NA,0.2457,0.13036000000000003,290.80999755000005,282.905914306641,16503778,1.36640913734185,WET
CZ-wet,2008-04-21,1.0008824117392805,FALSE,cLS,0.07178,NA,NA,0.0724,0.29828000000000005,0.2431,0.12528666666666669,293.16532795333325,284.538787841797,17262116,1.62152826452573,WET
CZ-wet,2008-04-22,0.976896667438601,FALSE,cLS,NA,NA,0.0386,0.0724,NA,0.2432,NA,NA,282.379638671875,9001556,2.23139048868709,WET
CZ-wet,2008-04-23,1.0518596308646175,FALSE,cLS,0.08009999999999999,0.2665,0.04024,0.0719,0.3022933333333333,0.2334,NA,287.9813262966666,282.3583984375,15982606,2.13910406021293,WET
CZ-wet,2008-04-24,0.9822500432673978,FALSE,cLS,0.06648000000000001,NA,0.03458,0.0719,NA,0.2334,0.1294133333333333,293.6499939,283.512298583984,20298614,4.21609838579907,WET
CZ-wet,2008-04-25,0.9745290148557048,FALSE,cLS,NA,0.2824,0.03476,0.071,0.30656,NA,NA,286.32199605,280.622100830078,10839960,0,WET
CZ-wet,2008-04-26,1.0758717475509154,FALSE,cLS,0.06804000000000002,0.2838,0.0346,0.071,NA,0.2312,0.12003333333333331,NA,282.545745849609,15278776,0.115461137108233,WET
CZ-wet,2008-04-27,1.1075048168835857,FALSE,cLS,NA,0.2875,NA,0.0675,0.3022866666666667,0.2157,0.11414666666666667,NA,284.369903564453,22670738,2.18949603150894,WET
CZ-wet,2008-04-28,1.0089474025311198,FALSE,cLS,0.05978,NA,0.031520000000000006,NA,NA,0.2166,0.10256000000000001,290.5399933,286.154449462891,21836840,4.26660834197739,WET
CZ-wet,2008-04-29,0.9766222504132224,FALSE,cLS,0.05994000000000001,NA,NA,0.0689,0.31625333333333333,0.2173,NA,283.9579956033333,282.648071289062,7010492,0,WET
CZ-wet,2008-04-30,0.991914419721197,FALSE,cLS,NA,NA,0.028839999999999998,0.0686,NA,0.2178,0.09494000000000001,291.83599548999996,284.206481933594,17497468,1.49770449098172,WET
CZ-wet,2008-05-01,0.9777771497727704,FALSE,cLS,0.05322,0.3712,NA,NA,0.33245333333333343,NA,0.08796000000000001,286.91999613333326,283.351348876953,15431248,2.35603690702528,WET
CZ-wet,2008-05-02,0.9785194144800354,FALSE,cLS,0.048940000000000004,0.3735,0.028459999999999996,0.0685,0.33903333333333335,NA,0.08904666666666666,290.1066619933333,283.420440673828,22804364,2.93462679717837,WET
CZ-wet,2008-05-03,0.9917274672226212,FALSE,cLS,0.04618,0.4056,0.028880000000000006,0.0695,0.35639333333333334,NA,0.08160666666666665,NA,282.779083251953,20560416,3.90467042472448,WET
CZ-wet,2008-05-04,0.9876300175765408,FALSE,cLS,NA,0.4013,0.03362,0.0701,NA,0.2493,0.08703333333333334,287.5053293833333,283.268890380859,23956172,6.1518004936757,WET
CZ-wet,2008-05-05,0.9830747213339016,FALSE,cLS,0.053900000000000003,0.376,0.0331,0.0716,0.33656666666666674,0.2221,0.094,287.95066324,282.492767333984,14432416,5.20935062967649,WET
CZ-wet,2008-05-06,1.084572451901295,FALSE,cLS,0.053900000000000003,0.3803,0.0336,0.0722,0.3297,NA,0.0942,289.05799356333324,284.454254150391,18716736,7.36601225656021,WET
CZ-wet,2008-05-07,1.038421082806735,FALSE,cLS,NA,0.3833,0.0321,0.0712,0.3252,0.216,NA,292.2633249866667,284.225433349609,23392884,10.2349211868981,WET
CZ-wet,2008-05-08,1.070711867943127,FALSE,cLS,0.0567,0.3841,NA,0.0738,0.3301,0.2197,0.1016,289.75,285.856353759766,22404488,13.0357241853766,WET
CZ-wet,2008-05-09,1.0654918141747711,FALSE,cLS,0.0568,0.3833,0.0328,NA,0.3295,0.219,0.1019,294.47865906000004,286.925872802734,23063888,15.9687706438848,WET
CZ-wet,2008-05-10,1.0882592880582922,FALSE,cLS,0.057,0.3826,0.0329,0.0741,0.3289,NA,NA,NA,286.093658447266,22889164,18.917025841962,WET
CZ-wet,2008-05-11,1.1102047957120833,FALSE,cLS,NA,0.3874,0.0336,0.0765,0.3299,0.2168,0.1019,296.6499939,286.237762451172,25299124,21.8652810400393,WET
CZ-wet,2008-05-12,1.128461203561409,FALSE,cLS,0.0579,0.3866,NA,0.0767,0.3302,0.2159,0.1028,296.50999455,287.234954833984,23678344,24.575200561276,WET
CZ-wet,2008-05-13,1.064801684335609,FALSE,cLS,0.0583,0.3863,0.0338,0.077,0.3308,0.2157,NA,299.4499817,288.539001464844,24864486,26.8895373701409,WET
CZ-wet,2008-05-14,1.0739941843720695,FALSE,cLS,0.0586,0.3859,0.0338,0.0772,0.3314,0.2158,NA,297.00132648666664,288.748687744141,23126708,29.0158634924629,WET
CZ-wet,2008-05-15,1.0063374054331928,FALSE,cLS,0.0589,NA,NA,0.0774,0.3324,NA,NA,293.3499908,289.131744384766,23719428,30.3442107796046,WET
CZ-wet,2008-05-16,1.0381134074792835,FALSE,cLS,0.0594,0.3807,0.0338,NA,0.3326,0.2197,0.1055,292.70399373000004,288.31787109375,19730290,30.1165412127357,WET
CZ-wet,2008-05-17,1.0173704004072692,FALSE,cLS,0.0594,0.4081,NA,NA,0.3656,NA,0.1082,297.1453257233333,289.693817138672,19666766,30.3009278684249,WET
CZ-wet,2008-05-18,0.9927176025897576,FALSE,cLS,0.0607,0.4001,NA,0.0828,0.3649,0.2479,0.1141,287.4206593833334,285.172149658203,3395016,21.0048830810337,WET
CZ-wet,2008-05-19,1.0034479441360922,FALSE,cLS,0.0609,0.4003,0.0339,0.0831,0.3655,0.2486,0.1147,288.75999247666664,283.596038818359,8753588,0,WET
CZ-wet,2008-05-20,1.0023994234610163,FALSE,cLS,NA,NA,0.034,0.0803,0.3423,0.2243,0.1115,NA,280.787475585938,4573946,0,WET
CZ-wet,2008-05-21,1.0027142045170423,FALSE,cLS,0.06554,0.3626,0.03538,NA,0.31789999999999996,0.2286,0.1019,283.69132894,281.390808105469,2675796,0,WET
CZ-wet,2008-05-22,0.9769799387291088,FALSE,cLS,NA,0.3472,0.03464,0.0754,0.32153333333333334,0.2295,0.1019,284.5933288533334,282.964782714844,8267580,2.63768531289039,WET
CZ-wet,2008-05-23,0.970002047809946,FALSE,cLS,NA,0.3673,0.037239999999999995,NA,0.34972666666666663,0.227,NA,291.76932779000003,284.368804931641,14017740,3.75451201386924,WET
CZ-wet,2008-05-24,0.9745700564125744,FALSE,cLS,NA,NA,0.0323,NA,0.3382,0.2054,0.1024,NA,286.728546142578,21445620,3.92285035178327,WET
CZ-wet,2008-05-25,0.9761351815778452,FALSE,cLS,0.0564,0.3981,0.0348,0.0764,0.354,NA,0.0991,NA,288.175445556641,18558920,6.65548637311788,WET
CZ-wet,2008-05-26,0.9699533877623252,FALSE,cLS,0.0568,0.396,0.0347,0.0779,0.3543,NA,0.0999,296.75066323333334,289.464538574219,20265448,9.60374157119512,WET
CZ-wet,2008-05-27,0.97297764958307,FALSE,cLS,0.0568,0.3962,0.0347,0.0779,0.3544,0.2115,NA,300.94999695,292.784149169922,26043134,12.5511389746832,WET
CZ-wet,2008-05-28,0.9850494226064734,FALSE,cLS,0.0568,0.3978,NA,0.078,0.3555,NA,NA,296.5399933,293.363464355469,26344186,15.4985328857117,WET
CZ-wet,2008-05-29,0.994009945480599,FALSE,cLS,0.0567,0.3994,0.0349,0.0781,0.3565,0.2128,0.0996,293.4999847,292.034240722656,27383576,18.442967778579,WET
CZ-wet,2008-05-30,1.0047932452986472,FALSE,cLS,0.0566,NA,NA,0.0781,0.3575,0.2133,0.0996,302.36000060000003,293.942962646484,27281836,21.3912229766562,WET
CZ-wet,2008-05-31,0.9842281336064096,FALSE,cLS,0.0565,NA,0.035,NA,0.3584,0.2136,0.0995,300.31999205,294.44677734375,27047240,24.236817032142,WET
CZ-wet,2008-06-01,1.0042742568485612,FALSE,cLS,NA,0.4041,0.0351,NA,0.3594,0.2139,0.0995,NA,292.479553222656,19528940,23.4611267830126,WET
CZ-wet,2008-06-03,0.993864939893238,FALSE,cLS,NA,0.4277,0.0296,0.0732,0.3637,0.2106,NA,295.41999105333343,290.599822998047,13005654,17.7799142563424,WET
CZ-wet,2008-06-04,0.9985965393943912,FALSE,cLS,0.0486,0.4285,0.0294,0.0731,0.364,0.2106,0.0881,294.2259897933333,289.962066650391,14994036,0,WET
CZ-wet,2008-06-05,1.002914765839692,FALSE,cLS,0.0461,NA,0.0288,0.0734,0.3789,0.2141,NA,NA,289.671051025391,16278596,3.80341730445229,WET
CZ-wet,2008-06-06,0.984909647727841,FALSE,cLS,0.0451,NA,NA,0.0727,0.3798,0.2132,0.0849,292.87332662333324,288.326904296875,13861448,7.21310118302379,WET
CZ-wet,2008-06-07,0.9861304467226168,FALSE,cLS,0.0449,NA,NA,0.0725,NA,0.2131,NA,293.43532612666667,288.765777587891,21026380,5.36250170133755,WET
CZ-wet,2008-06-08,0.984372112353418,FALSE,cLS,NA,0.4751,0.0268,0.0723,0.3849,0.2089,0.0804,293.65532532333333,288.1904296875,17363168,1.06023279487905,WET
CZ-wet,2008-06-09,0.9915978468153164,FALSE,cLS,0.03972,NA,0.022,0.0728,NA,0.209,0.0829,296.02465718,290.488739013672,17834364,2.94299887686857,WET
CZ-wet,2008-06-10,0.9834434658885168,FALSE,cLS,0.028599999999999997,NA,0.01608,NA,0.40808666666666665,0.2071,0.07177333333333333,300.16999814999997,292.395141601562,23569152,5.92159297700931,WET
CZ-wet,2008-06-11,0.9675671410891696,FALSE,cLS,0.041999999999999996,0.4955,0.02726,NA,0.3775333333333333,0.2067,0.07647999999999998,294.2066579233333,289.939239501953,16044616,0,WET
CZ-wet,2008-06-12,0.9876851790082896,FALSE,cLS,0.04366,0.4959,0.03218,0.0616,0.37028,NA,0.07676666666666666,NA,287.535766601562,16411212,3.37042921412807,WET
CZ-wet,2008-06-13,0.9683994552003012,FALSE,cLS,0.033600000000000005,0.4962,0.019200000000000002,0.0616,0.3781466666666667,NA,0.07615999999999999,NA,285.136138916016,13287922,5.55704056665443,WET
CZ-wet,2008-06-14,0.9795237264389643,FALSE,cLS,0.0377,0.4966,0.026500000000000003,0.0616,0.39220666666666665,0.2068,0.07755999999999999,NA,285.041961669922,19807776,8.30287084553603,WET
CZ-wet,2008-06-15,0.9843261693474566,FALSE,cLS,NA,NA,NA,0.0583,0.3910466666666667,NA,0.07048,NA,286.714904785156,23845236,11.7810123757581,WET
CZ-wet,2008-06-16,0.9879121062521072,FALSE,cLS,0.03026,0.4744,0.01968,0.0564,NA,0.1945,NA,NA,287.309051513672,19903144,13.6002878695296,WET
CZ-wet,2008-06-17,0.9796262866422972,FALSE,cLS,NA,0.474,NA,0.0564,0.3652733333333333,0.1943,NA,292.4079935766667,286.932220458984,9118492,16.5131472432935,WET
CZ-wet,2008-06-19,0.9847051560511936,FALSE,cLS,0.0398,0.447,NA,0.065,0.361,0.188,0.0613,295.10998535,291.238189697266,24859964,23.6760357768052,WET
CZ-wet,2008-06-20,0.9848130626458866,FALSE,cLS,0.0428,0.4467,0.025,0.0649,0.3618,0.1929,0.0613,297.23999124333335,291.813415527344,21636644,27.1608962173265,WET
CZ-wet,2008-06-22,0.978910818602006,FALSE,cLS,NA,NA,0.0249,NA,0.3617,0.1929,0.0613,302.9399872,295.477325439453,27075780,34.7955309972141,WET
CZ-wet,2008-06-25,0.9976779235628334,FALSE,cLS,0.0463,0.4338,0.0256,NA,0.3625,NA,0.0677,298.5,294.753540039062,24556300,43.9229901354941,WET
CZ-wet,2008-06-26,0.9888275198268672,FALSE,cLS,NA,0.4332,0.0256,0.0644,NA,0.1711,NA,NA,292.753234863281,16451772,46.1691205675344,WET
CZ-wet,2008-06-27,1.0006621472361978,FALSE,cLS,NA,0.4325,0.0255,0.0643,NA,0.1714,0.0681,293.4299927,292.010162353516,22551244,49.9574504899336,WET
CZ-wet,2008-06-28,0.995494543435526,FALSE,cLS,0.0463,0.4319,NA,0.0642,0.3616,0.1714,0.0682,294.59132386000005,291.072998046875,16986316,53.1472970135433,WET
CZ-wet,2008-06-29,0.9909245214437458,FALSE,cLS,0.0474,0.4248,NA,NA,0.357,0.1759,0.0702,NA,292.810882568359,19314100,56.6324946219405,WET
CZ-wet,2008-06-30,1.027390365770113,FALSE,cLS,0.0475,NA,NA,0.0644,0.3567,0.1764,0.0706,294.6213246766666,292.54736328125,18793650,60.3904309485325,WET
CZ-wet,2008-07-01,1.0331197011623758,FALSE,cLS,0.0522,0.4036,NA,0.067,0.3542,0.1829,0.0785,300.969986,293.280548095703,24659116,64.0841703540595,WET
CZ-wet,2008-07-02,0.9858200646567148,FALSE,cLS,0.0547,0.4068,0.029,0.0683,NA,NA,0.0934,303.97999575,294.67138671875,24889212,67.7783953759266,WET
CZ-wet,2008-07-03,0.9922376168170464,FALSE,cLS,0.0548,0.4063,0.0291,NA,0.3708,NA,NA,301.10732828666664,294.615966796875,22623104,0,WET
CZ-wet,2008-07-04,1.0291891216920046,FALSE,cLS,0.0554,0.3742,0.0269,0.0661,0.3524,0.2058,0.0951,297.65199787999995,290.991271972656,17409300,0,WET
CZ-wet,2008-07-05,1.0217981897808257,FALSE,cLS,0.0556,0.3731,0.0269,0.0661,0.3518,0.2062,0.0955,NA,290.465301513672,22702718,3.4541895067049,WET
CZ-wet,2008-07-06,1.0089939026098702,FALSE,cLS,0.0645,0.3724,0.0283,0.0662,0.3509,0.2032,0.0967,299.07998655,292.847991943359,26374896,2.3009056734079,WET
CZ-wet,2008-07-07,0.9880798567817294,FALSE,cLS,0.0644,NA,0.0285,0.0663,0.3506,0.2028,0.0965,288.90599364999997,289.218109130859,10076332,0,WET
CZ-wet,2008-07-08,0.998836505700787,FALSE,cLS,0.0643,0.3708,0.0286,NA,0.3502,0.2023,NA,295.75332640666676,289.397308349609,24078596,0.557422557143471,WET
CZ-wet,2008-07-09,0.996422690050888,FALSE,cLS,0.0642,0.37,0.0287,NA,0.3498,0.2019,0.0963,292.88265888999996,288.305816650391,15607790,3.34394637168567,WET
